date,home_team,away_team,home_media_goals,home_media_shots_on_goal,home_media_possession,home_media_corners,away_media_goals,away_media_shots_on_goal,away_media_possession,away_media_corners
2021-03-27 00:30:00+00:00,Corinthians,Retrô,3.0,8.0,55.0,10.0,1.0,8.0,40.0,7.0
2021-04-01 20:00:00+00:00,Luverdense,Bragantino,1.0,6.0,48.0,3.0,3.0,9.0,47.0,6.0
2021-04-07 00:30:00+00:00,Fortaleza EC,Ypiranga-RS,1.0,10.0,56.0,3.0,1.0,7.0,43.0,11.0
2021-04-07 19:00:00+00:00,Juazeirense,Volta Redonda,3.0,7.0,40.0,10.0,3.0,7.0,54.0,3.0
2021-04-07 19:00:00+00:00,Picos,Boavista SC,1.0,3.0,45.0,4.0,3.0,10.0,46.0,7.0
2021-04-07 22:00:00+00:00,Coritiba,Operario-PR,1.0,9.0,56.0,12.0,2.0,10.0,53.0,5.0
2021-04-08 00:30:00+00:00,Tombense,Vasco DA Gama,0.0,9.0,40.0,7.0,1.0,8.0,55.0,2.0
2021-04-08 00:30:00+00:00,Bahia,Manaus FC,7.0,9.0,54.0,10.0,4.0,6.0,43.0,2.0
2021-04-08 22:00:00+00:00,Vitoria,Rio Branco ES,1.0,6.0,54.0,7.0,2.0,4.0,56.0,3.0
2021-04-09 00:30:00+00:00,Vila Nova,Juventude,3.0,9.0,49.0,9.0,3.0,4.0,45.0,12.0
2021-04-09 22:00:00+00:00,Criciuma,Ponte Preta,0.0,10.0,46.0,2.0,2.0,4.0,44.0,5.0
2021-04-13 19:45:00+00:00,Paysandu,CRB,1.0,5.0,54.0,10.0,3.0,7.0,44.0,12.0
2021-04-14 00:30:00+00:00,CSA,remo,5.0,6.0,44.0,8.0,2.0,3.0,56.0,9.0
2021-04-14 22:00:00+00:00,Cianorte,Santa Cruz,1.0,7.0,40.0,5.0,4.0,7.0,40.0,11.0
2021-04-15 00:30:00+00:00,America-RN,Cruzeiro,2.0,10.0,50.0,5.0,1.0,8.0,41.0,8.0
2021-04-15 00:30:00+00:00,ABC,Botafogo,1.0,3.0,54.0,12.0,5.0,4.0,43.0,2.0
2021-04-15 22:00:00+00:00,America Mineiro,Ferroviario,1.0,8.0,58.0,3.0,1.0,5.0,44.0,3.0
2021-04-16 00:30:00+00:00,Joinville,Atletico Goianiense,0.0,7.0,54.0,6.0,3.0,7.0,44.0,3.0
2021-04-16 22:00:00+00:00,4 de Julho,Cuiaba,1.0,8.0,53.0,6.0,0.0,7.0,41.0,12.0
2021-04-16 22:00:00+00:00,Avai,Cascavel,1.0,10.0,45.0,12.0,2.0,7.0,41.0,3.0
2021-05-29 22:00:00+00:00,Cuiaba,Juventude,0.0,6.0,45.5,10.5,2.0,6.0,48.0,11.5
2021-05-30 21:15:00+00:00,Corinthians,Atletico Goianiense,2.0,8.0,52.5,7.5,2.5,5.0,46.0,3.5
2021-06-01 19:30:00+00:00,Vila Nova,Bahia,2.0,6.0,49.0,8.0,4.666666666666667,7.0,52.333333333333336,6.666666666666667
2021-06-01 22:00:00+00:00,Cianorte,Santos,1.0,6.5,49.0,4.5,0.0,5.0,42.0,6.0
2021-06-02 00:30:00+00:00,4 de Julho,Sao Paulo,0.5,8.0,51.5,4.5,0.0,8.0,49.0,2.0
2021-06-02 00:30:00+00:00,Boavista SC,Vasco DA Gama,2.0,8.5,52.0,6.5,1.5,5.5,55.0,5.5
2021-06-02 19:30:00+00:00,Chapecoense-sc,ABC,0.0,10.0,59.0,9.0,1.0,4.0,56.0,10.5
2021-06-02 22:00:00+00:00,remo,Atletico-MG,1.5,3.5,51.5,8.0,1.0,8.0,51.0,10.0
2021-06-02 22:00:00+00:00,Fortaleza EC,Ceara,1.3333333333333333,7.666666666666667,50.0,5.333333333333333,3.0,5.0,55.0,3.0
2021-06-03 00:30:00+00:00,Corinthians,Atletico Goianiense,1.3333333333333333,8.0,53.333333333333336,8.333333333333334,2.0,4.666666666666667,45.666666666666664,5.0
2021-06-03 00:30:00+00:00,America Mineiro,Criciuma,0.6666666666666666,8.0,50.333333333333336,3.6666666666666665,0.5,7.5,53.0,7.0
2021-06-03 00:30:00+00:00,Fluminense,Bragantino,0.0,4.0,51.0,12.0,2.5,9.5,45.0,6.5
2021-06-03 19:30:00+00:00,Cruzeiro,Juazeirense,1.0,5.5,47.0,7.0,3.0,6.0,47.5,8.0
2021-06-03 22:00:00+00:00,Avai,Atletico Paranaense,1.5,10.0,52.0,10.5,1.0,5.0,59.0,4.0
2021-06-03 22:00:00+00:00,Vitoria,Internacional,1.5,7.0,54.5,8.5,2.0,10.0,42.0,11.0
2021-06-04 00:30:00+00:00,CRB,Palmeiras,2.5,5.0,50.5,7.0,0.0,10.0,46.0,9.0
2021-06-05 22:00:00+00:00,Atletico Goianiense,Sao Paulo,2.0,5.0,44.75,5.25,1.0,7.5,48.5,2.0
